"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-08-15 00:49:46"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.96602417","40.80643418","Manhattan","10025","605","WEST 113 STREET","0","1577000","109","05/31/2022","7","1403235","18051596","Not Completed",""
" -74.00105929","40.72903308","Manhattan","10012","184","BLEECKER STREET","0","1582801","102","05/31/2022","3","0","16432876","Not Completed",""
" -73.80956575","40.73211957","Queens","11365","158-40","JEWEL AVENUE","0","1580835","408","05/31/2022","24","0","15133255","Completed","2022-06-29 00:00:00"
" -73.80939563","40.73209484","Queens","11365","158-40","JEWEL AVENUE","0","1580836","408","05/31/2022","24","0","15133256","Completed","2022-06-29 00:00:00"
" -73.99978807","40.73073717","Manhattan","10012","136","MAC DOUGAL STREET","0","1582842","102","05/31/2022","1","1409077","13764043","Not Completed",""
" -74.00079049","40.72890247","Manhattan","10012","176","BLEECKER STREET","0","1582804","102","05/31/2022","3","0","16433296","Not Completed",""
" -74.00081088","40.72903159","Manhattan","10012","181","BLEECKER STREET","0","1582845","102","05/31/2022","1","1409080","16433297","Not Completed",""
" -73.99948867","40.73016423","Manhattan","10012","100","WEST  3 STREET","0","1582855","102","05/31/2022","1","0","15515663","Not Completed",""
" -73.99379030","40.73701954","Manhattan","10011","5","WEST  15 STREET","0","1583288","105","05/31/2022","3","0","9675921","Not Completed",""
" -73.94546379","40.80220428","Manhattan","10035","1468","5 AVENUE","0","1584572","110","05/31/2022","9","1410807","12728754","Not Completed",""
" -73.98612650","40.74181885","Manhattan","10010","51","EAST  25 STREET","0","1584626","105","05/31/2022","2","1410861","9085655","Not Completed",""
" -73.94818908","40.80303844","Manhattan","10026","34","WEST 118 STREET","0","1584495","110","05/31/2022","9","0","18595743","Not Completed",""
" -73.94810458","40.80300256","Manhattan","10026","34","WEST 118 STREET","0","1584496","110","05/31/2022","9","0","18595742","Not Completed",""
" -73.71268189","40.74138296","Queens","11004","81-35","257 STREET","0","1583730","413","05/31/2022","23","1409965","15525247","Completed","2021-12-07 00:00:00"
" -73.99084302","40.73634679","Manhattan","10003","*","UNION SQ W","0","1584911","105","05/31/2022","2","1411146","9617275","Not Completed",""
" -73.99090333","40.73625983","Manhattan","10003","*","UNION SQ W","0","1584912","105","05/31/2022","2","1411147","9621934","Not Completed",""
" -73.99097538","40.73616274","Manhattan","10003","","Union Square Park","0","1584913","105","05/31/2022","2","1411148","9625932","Not Completed",""
" -73.94941198","40.82370524","Manhattan","10031","115","HAMILTON PLACE","0","1590005","109","05/31/2022","7","1416240","18221139","Not Completed",""
" -73.94933713","40.82374837","Manhattan","10031","115","HAMILTON PLACE","0","1590004","109","05/31/2022","7","1416239","18221141","Not Completed",""
" -73.96596782","40.80711027","Manhattan","10025","622","WEST 114 STREET","0","1592010","109","05/31/2022","7","0","18056515","Not Completed",""
" -73.99377455","40.74339501","Manhattan","10011","131","WEST  23 STREET","0","1592688","104","05/31/2022","3","1418923","13907524","Not Completed",""
" -73.96532394","40.80683795","Manhattan","10025","600","WEST 114 STREET","0","1592015","109","05/31/2022","7","1418250","14197920","Not Completed",""
" -73.94980566","40.82240112","Manhattan","10031","1626","AMSTERDAM AVENUE","0","1590279","109","05/31/2022","7","0","14104999","Not Completed",""
" -73.96444070","40.80813464","Manhattan","10027","600","WEST 116 STREET","0","1591990","109","05/31/2022","7","1418225","14197919","Not Completed",""
" -73.99799089","40.74498533","Manhattan","10011","260","WEST  23 STREET","0","1594110","104","05/31/2022","3","1420345","15949219","Not Completed",""
" -73.99134941","40.74712931","Manhattan","10001","130","WEST  29 STREET","0","1597047","105","05/31/2022","3","1423282","16436453","Not Completed",""
" -73.99092930","40.74707525","Manhattan","10001","119","WEST  29 STREET","0","1597040","105","05/31/2022","3","1423275","15966518","Not Completed",""
" -73.95122905","40.80842670","Manhattan","10027","256","WEST 123 STREET","0","1594576","110","05/31/2022","9","0","9149798","Not Completed",""
" -74.00225596","40.74500113","Manhattan","10011","176","9 AVENUE","0","1595216","104","05/31/2022","3","1421451","15948924","Not Completed",""
" -73.94830215","40.81674815","Manhattan","0","OPP 488","ST NICHOLAS AVENUE","0","1597451","109","05/31/2022","0","0","16789521","Not Completed",""
" -73.94897978","40.81529057","Manhattan","10027","448","ST NICHOLAS AVENUE","0","1597463","110","05/31/2022","9","0","16789497","Not Completed",""
" -73.94835870","40.81662652","Manhattan","0","OPP 486","ST NICHOLAS AVENUE","0","1597453","109","05/31/2022","0","0","16789519","Not Completed",""
" -73.94885622","40.81555636","Manhattan","10027","454","ST NICHOLAS AVENUE","0","1597461","110","05/31/2022","9","1423696","16789503","Not Completed",""
" -73.94833103","40.81668604","Manhattan","0","OPP 486","ST NICHOLAS AVENUE","0","1597452","109","05/31/2022","0","0","16789520","Not Completed",""
" -73.94909120","40.81505092","Manhattan","10027","438","ST NICHOLAS AVENUE","0","1597466","110","05/31/2022","9","0","16789493","Not Completed",""
" -73.94935360","40.81467158","Manhattan","10027","426","ST NICHOLAS AVENUE","0","1597470","110","05/31/2022","9","0","16789492","Not Completed",""
" -73.94939791","40.81461085","Manhattan","10027","422","ST NICHOLAS AVENUE","0","1597471","110","05/31/2022","9","0","16789491","Not Completed",""
" -73.94950037","40.81447041","Manhattan","10027","418","ST NICHOLAS AVENUE","0","1597472","110","05/31/2022","9","0","16789479","Not Completed",""
" -74.00175979","40.74609751","Manhattan","10011","197","9 AVENUE","0","1599698","104","05/31/2022","3","1425933","18269715","Not Completed",""
